"Nivel general","Alimentos y bebidas no alcohólicas","Alimentos","Pan y cereales","Carnes y derivados","Leche, productos lácteos y huevos","Aceites, grasas y manteca","Frutas","Verduras, tubérculos y legumbres","Azúcar, dulces, chocolate, golosinas, etc,","Bebidas no alcohólicas","Café, té, yerba y cacao","Aguas minerales, bebidas gaseosas y jugos","Bebidas alcohólicas y tabaco","Bebidas alcohólicas","Tabaco","Prendas de vestir y calzado","Prendas de vestir y materiales","Calzado","Vivienda, agua, electricidad y otros combustibles","Alquiler de la vivienda y gastos conexos","Alquiler de la vivienda","Mantenimiento y reparación de la vivienda","Electricidad, gas y otros combustibles","Equipamiento y mantenimiento del hogar","Bienes y servicios para la conservación del hogar","Salud","Productos medicinales, artefactos y equipos para la salud","Gastos de prepagas","Transporte","Adquisición de vehículos","Funcionamiento de equipos de transporte personal","Combustibles y lubricantes para vehículos de uso del hogar","Transporte público","Comunicación","Servicios  de telefonía e internet","Recreación y cultura","Equipos audiovisuales, fotográficos y de procesamiento de la información","Servicios recreativos y culturales","Periódicos, diarios, revistas, libros y artículos de papelería","Educación","Restaurantes y hoteles","Restaurantes y comidas fuera del hogar","Bienes y servicios varios","Cuidado personal","Periodo","Mes","Año","Interanual"
2.8,3.7,3.7,1.8,3.4,2.2,3.3,8.5,8.2,2.6,3.9,3.9,4,1.5,4.1,0,2.6,2.8,2,2.5,2.5,2.2,8.1,1,3.5,1.6,2.3,3.8,0,2.8,5.7,2.3,2.4,0.7,0.3,0,3.3,6.5,0.2,4.8,1.1,1.6,1.5,5,4.9,2020-08-01,"08","2020",39.02
2.8,2.8,3.3,2,1.9,-0.6,0.9,9.2,13.7,1.3,-0.9,-0.3,-1.1,4.5,0.8,6.6,7.5,7.8,6.5,1.1,0.9,1.5,2.1,1.3,2.9,0.9,2.9,5,0,3.4,5.8,3.5,4,0.9,-0.8,-0.9,2.5,4.2,0.2,2.7,0.2,1.3,1.2,2.8,2.7,2020-09-01,"09","2020",35.08
3.6,4.8,5,2.6,3.5,2.3,4.2,8.8,15.8,1.2,3.3,3.2,3.3,2.1,4.9,0.5,6.2,6.4,5.6,2.2,2.2,3.8,7.5,0.6,4.7,4,2.5,3.8,0,4.1,6.5,4.5,4.7,1.1,-0.5,-0.8,2.5,1.5,0.1,3.2,0,3.3,3.3,1.9,1.9,2020-10-01,"10","2020",35.6
3,2.1,2.2,2.8,5.4,1.8,3.5,7.1,-6.8,1.6,1.9,2.8,1.5,2.4,1.6,2.9,3,2.2,5.4,2.5,3.6,2.4,5.9,0.1,3.9,3.5,3.4,5,0,4.1,6.4,2.3,2.1,4.4,-1.8,-1.9,5.5,-0.6,14.1,4.7,0.5,3.5,3.5,3.3,2.6,2020-11-01,"11","2020",34.17
3.7,2.8,3.1,1.2,13.9,0.1,1.1,6.2,-16.6,0.6,0.7,2.3,0.1,2.8,1.1,3.8,4,4.3,3.2,4.1,7.8,2.6,3.8,0.1,1.9,1.3,5.8,4.5,10,5,5.2,3.5,4.1,7.1,-0.1,0,4.9,2.4,6.3,1.6,0,5.6,5.4,1.3,1.6,2020-12-01,"12","2020",34.04
3.3,4,4.2,1.9,6.4,2.1,2.3,10.4,0.5,-0.1,2.5,1.5,2.9,4.1,2.8,4.8,0.1,-0.3,1.2,-1,-4.1,3.1,5,0.8,2.7,2,3.2,4.6,0,2.9,2.4,7,8.1,-2.6,16.7,17.2,4.4,2.4,5.3,2.7,0.7,5.8,4.8,2.1,2.1,2021-01-01,"01","2021",35.88
3.6,4,4,3.9,2.7,2.1,2.5,7.9,9.6,3.4,3.6,5.4,3,3.6,5.1,2.9,2.3,1.8,3.7,2.2,3.3,2.9,5.6,-0.3,5,6.1,2.9,4,0,4.8,8.8,4.5,4.7,0.8,1,0.9,2.7,2.4,2.9,5.4,0,5.8,6.4,3.3,3.8,2021-02-01,"02","2021",38.29
5.2,4.9,5.4,3.7,6.8,8.6,6.4,-1.8,6.3,1.7,0.8,2.3,0.2,6.3,5.1,6.9,16.2,18.7,9.2,1,1.7,2.8,1.6,-0.2,3.1,2.9,4,4.1,3.5,3.7,4.4,3.3,3.5,3.6,0.1,0,3.5,2.7,4.2,2.9,30.1,2.7,3.7,2.2,2.1,2021-03-01,"03","2021",40.42
4.1,4.7,4.7,5.7,4.7,9.3,7.9,-0.6,-0.9,4.9,4.6,7.8,3.5,3.8,9.2,0.9,4.9,5.2,4,4.1,5.8,6.1,7,1.1,4.7,3.9,3.8,3.8,4.5,5.1,4.1,8,7.8,1.3,0.5,0.4,2.7,2.5,7.1,1.8,3.1,3.2,3.6,3.9,2.5,2021-04-01,"04","2021",44.16
3.4,3.1,3,3.9,4.4,2.8,3.9,-8.5,4.9,2.3,3.3,4.5,2.8,1.1,3.1,0,0.2,0.5,-0.6,2.7,2.2,3.4,3.5,3.5,2.2,2.3,5.3,5.8,5.5,6.3,5.6,9.5,11.3,1.6,1.6,1.7,3.8,2.4,4.9,4.4,2.7,4.5,4.5,2.5,2.3,2021-05-01,"05","2021",46.86
3.1,3.4,3.4,4.5,4.6,6.2,4.5,-2.2,-3.9,2.4,3.3,4.7,2.8,5.7,5.5,5.9,3.9,3.1,6.6,2.2,1.8,3,2,3.1,3.3,3.6,2.2,3.4,0,3.3,3.9,3.1,2.9,3,7,7.1,1.8,1.6,1,2.3,1,2.8,3.3,1.6,1.8,2021-06-01,"06","2021",48.44
3.1,3.6,3.4,3.1,0.4,4.6,5.9,-0.6,13.9,4.8,5.3,6.1,4.9,3.5,8.1,0.7,0.6,0.3,1.7,3.6,4.6,3,7.8,0.6,2.7,2.8,2.9,3.8,0,1.5,3,1.2,0.2,0.2,0.1,0,3.9,1.4,1.9,3.7,3.9,5.5,4.7,3.7,4,2021-07-01,"07","2021",50.64
2.6,1.4,1.2,2.3,0.3,3.2,3.1,2.8,-3.9,4.4,3.3,5.9,2.3,1.8,4.6,0,3.9,4.2,2.9,2.9,5.4,1.9,1.3,0.2,3,3.4,4.7,3.3,9,2.3,4,1.8,1.3,1.2,-1.2,-1.3,3.8,4.5,3,6.7,4.4,2,2.7,3.1,3.6,2021-08-01,"08","2021",50.34
3.8,3.3,3.3,3.2,1.3,4.7,2.6,5,5.8,5.3,2.7,3.1,2.5,6.2,5.6,6.6,6.7,7,6.1,1.4,1.6,2.6,2,0.9,3.9,4.2,4.7,3.1,9,3.7,5.2,2.1,0.7,4.7,3.9,4.2,3.4,0.1,5,2.8,3.7,4.5,4.3,1.8,1.8,2021-09-01,"09","2021",51.8
